appName,entitlement,entitlementValue,account
AccountingSoftware,Standard User,YES,17
AccountingSoftware,Standard User,YES,47
AccountingSoftware,Standard User,YES,71
AccountingSoftware,Standard User,YES,93
AccountingSoftware,Standard User,YES,109
AccountingSoftware,Standard User,YES,131
AccountingSoftware,Standard User,YES,145
AccountingSoftware,Standard User,YES,155
AccountingSoftware,Standard User,YES,162
AccountingSoftware,Standard User,YES,184
AccountingSoftware,Standard User,YES,198
AccountingSoftware,Standard User,YES,208
AccountingSoftware,Standard User,YES,216
AccountingSoftware,Standard User,YES,226
AccountingSoftware,Standard User,YES,231
AccountingSoftware,Standard User,YES,253
AccountingSoftware,Standard User,YES,267
AccountingSoftware,Standard User,YES,277
AccountingSoftware,Standard User,YES,285
AccountingSoftware,Standard User,YES,295
AccountingSoftware,Standard User,YES,300
AccountingSoftware,Standard User,YES,307
AccountingSoftware,Standard User,YES,317
AccountingSoftware,Standard User,YES,322
AccountingSoftware,Standard User,YES,326
AccountingSoftware,Standard User,YES,340
AccountingSoftware,Standard User,YES,353
AccountingSoftware,Standard User,YES,363
AccountingSoftware,Standard User,YES,371
AccountingSoftware,Standard User,YES,381
AccountingSoftware,Standard User,YES,386
AccountingSoftware,Standard User,YES,393
AccountingSoftware,Standard User,YES,403
AccountingSoftware,Standard User,YES,408
AccountingSoftware,Standard User,YES,412
AccountingSoftware,Standard User,YES,425
AccountingSoftware,Standard User,YES,430
AccountingSoftware,Standard User,YES,434
AccountingSoftware,Standard User,YES,438
AccountingSoftware,Standard User,YES,456
AccountingSoftware,Standard User,YES,464
AccountingSoftware,Standard User,YES,472
AccountingSoftware,Standard User,YES,482
AccountingSoftware,Standard User,YES,487
AccountingSoftware,Standard User,YES,494
AccountingSoftware,Standard User,YES,504
AccountingSoftware,Standard User,YES,509
AccountingSoftware,Standard User,YES,513
AccountingSoftware,Standard User,YES,526
AccountingSoftware,Standard User,YES,531
AccountingSoftware,Standard User,YES,535
AccountingSoftware,Standard User,YES,539
AccountingSoftware,Standard User,YES,547
AccountingSoftware,Standard User,YES,552
AccountingSoftware,Standard User,YES,556
AccountingSoftware,Standard User,YES,560
AccountingSoftware,Standard User,YES,574
AccountingSoftware,Standard User,YES,582
AccountingSoftware,Standard User,YES,585
AccountingSoftware,Standard User,YES,591
AccountingSoftware,Standard User,YES,601
AccountingSoftware,Standard User,YES,606
AccountingSoftware,Standard User,YES,610
AccountingSoftware,Standard User,YES,623
AccountingSoftware,Standard User,YES,628
AccountingSoftware,Standard User,YES,632
AccountingSoftware,Standard User,YES,636
AccountingSoftware,Standard User,YES,644
AccountingSoftware,Standard User,YES,649
AccountingSoftware,Standard User,YES,653
AccountingSoftware,Standard User,YES,657
AccountingSoftware,Standard User,YES,668
AccountingSoftware,Standard User,YES,672
AccountingSoftware,Standard User,YES,676
AccountingSoftware,Standard User,YES,689
AccountingSoftware,Standard User,YES,692
AccountingSoftware,Standard User,YES,701
AccountingSoftware,Standard User,YES,706
AccountingSoftware,Standard User,YES,709
AccountingSoftware,Standard User,YES,720
AccountingSoftware,Standard User,YES,725
AccountingSoftware,Standard User,YES,729
AccountingSoftware,Standard User,YES,733
AccountingSoftware,Standard User,YES,741
AccountingSoftware,Standard User,YES,746
AccountingSoftware,Standard User,YES,750
AccountingSoftware,Standard User,YES,754
AccountingSoftware,Standard User,YES,765
AccountingSoftware,Standard User,YES,769
AccountingSoftware,Standard User,YES,773
AccountingSoftware,Standard User,YES,783
AccountingSoftware,Standard User,YES,797
AccountingSoftware,Standard User,YES,799
AccountingSoftware,Standard User,YES,813
AccountingSoftware,Standard User,YES,814
AccountingSoftware,Standard User,YES,820
AccountingSoftware,Standard User,YES,825
AccountingSoftware,Standard User,YES,829
AccountingSoftware,Standard User,YES,833
AccountingSoftware,Standard User,YES,844
AccountingSoftware,Standard User,YES,848
AccountingSoftware,Standard User,YES,852
AccountingSoftware,Standard User,YES,862
AccountingSoftware,Standard User,YES,870
AccountingSoftware,Standard User,YES,888
AccountingSoftware,Standard User,YES,891
AccountingSoftware,Standard User,YES,895
AccountingSoftware,Standard User,YES,904
AccountingSoftware,Standard User,YES,908
AccountingSoftware,Standard User,YES,912
AccountingSoftware,Standard User,YES,922
AccountingSoftware,Standard User,YES,930
AccountingSoftware,Standard User,YES,944
AccountingSoftware,Standard User,YES,946
AccountingSoftware,Standard User,YES,948
AccountingSoftware,Standard User,YES,959
AccountingSoftware,Standard User,YES,963
AccountingSoftware,Standard User,YES,972
AccountingSoftware,Standard User,YES,980
AccountingSoftware,Standard User,YES,999
AccountingSoftware,Standard User,YES,1007
