appName,entitlement,entitlementValue,account
Active Directory,Group,TutorialEmployee,2
Active Directory,Group,TutorialEmployee,4
Active Directory,Group,TutorialEmployee,5
Active Directory,Group,TutorialEmployee,7
Active Directory,Group,TutorialEmployee,8
Active Directory,Group,TutorialEmployee,15
Active Directory,Group,TutorialEmployee,19
Active Directory,Group,TutorialEmployee,26
Active Directory,Group,TutorialEmployee,27
Active Directory,Group,TutorialEmployee,29
Active Directory,Group,TutorialEmployee,35
Active Directory,Group,TutorialEmployee,36
Active Directory,Group,TutorialEmployee,37
Active Directory,Group,TutorialEmployee,39
Active Directory,Group,TutorialEmployee,42
Active Directory,Group,TutorialEmployee,43
Active Directory,Group,TutorialEmployee,44
Active Directory,Group,TutorialEmployee,47
Active Directory,Group,TutorialEmployee,49
Active Directory,Group,TutorialEmployee,51
Active Directory,Group,TutorialEmployee,52
Active Directory,Group,TutorialEmployee,55
Active Directory,Group,TutorialEmployee,56
Active Directory,Group,TutorialEmployee,58
Active Directory,Group,TutorialEmployee,59
Active Directory,Group,TutorialEmployee,60
Active Directory,Group,TutorialEmployee,61
Active Directory,Group,TutorialEmployee,62
Active Directory,Group,TutorialEmployee,66
Active Directory,Group,TutorialEmployee,67
Active Directory,Group,TutorialEmployee,71
Active Directory,Group,TutorialEmployee,75
Active Directory,Group,TutorialEmployee,77
Active Directory,Group,TutorialEmployee,78
Active Directory,Group,TutorialEmployee,79
Active Directory,Group,TutorialEmployee,80
Active Directory,Group,TutorialEmployee,83
Active Directory,Group,TutorialEmployee,84
Active Directory,Group,TutorialEmployee,87
Active Directory,Group,TutorialEmployee,88
Active Directory,Group,TutorialEmployee,89
Active Directory,Group,TutorialEmployee,92
Active Directory,Group,TutorialEmployee,93
Active Directory,Group,TutorialEmployee,97
Active Directory,Group,TutorialEmployee,98
Active Directory,Group,TutorialEmployee,99
Active Directory,Group,TutorialEmployee,101
Active Directory,Group,TutorialEmployee,102
Active Directory,Group,TutorialEmployee,104
Active Directory,Group,TutorialEmployee,105
Active Directory,Group,TutorialEmployee,107
Active Directory,Group,TutorialEmployee,108
Active Directory,Group,TutorialEmployee,110
Active Directory,Group,TutorialEmployee,111
Active Directory,Group,TutorialEmployee,112
Active Directory,Group,TutorialEmployee,113
Active Directory,Group,TutorialEmployee,114
Active Directory,Group,TutorialEmployee,116
Active Directory,Group,TutorialEmployee,117
Active Directory,Group,TutorialEmployee,118
Active Directory,Group,TutorialEmployee,119
Active Directory,Group,TutorialEmployee,122
Active Directory,Group,TutorialEmployee,123
Active Directory,Group,TutorialEmployee,124
Active Directory,Group,TutorialEmployee,127
Active Directory,Group,TutorialEmployee,129
Active Directory,Group,TutorialEmployee,130
Active Directory,Group,TutorialEmployee,131
Active Directory,Group,TutorialEmployee,132
Active Directory,Group,TutorialEmployee,133
Active Directory,Group,TutorialEmployee,134
Active Directory,Group,TutorialEmployee,145
Active Directory,Group,TutorialEmployee,147
Active Directory,Group,TutorialEmployee,148
Active Directory,Group,TutorialEmployee,149
Active Directory,Group,TutorialEmployee,150
Active Directory,Group,TutorialEmployee,152
Active Directory,Group,TutorialEmployee,153
Active Directory,Group,TutorialEmployee,154
Active Directory,Group,TutorialEmployee,160
Active Directory,Group,TutorialEmployee,162
Active Directory,Group,TutorialEmployee,163
Active Directory,Group,TutorialEmployee,164
Active Directory,Group,TutorialEmployee,165
Active Directory,Group,TutorialEmployee,167
Active Directory,Group,TutorialEmployee,169
Active Directory,Group,TutorialEmployee,170
Active Directory,Group,TutorialEmployee,171
Active Directory,Group,TutorialEmployee,173
Active Directory,Group,TutorialEmployee,174
Active Directory,Group,TutorialEmployee,175
Active Directory,Group,TutorialEmployee,176
Active Directory,Group,TutorialEmployee,177
Active Directory,Group,TutorialEmployee,181
Active Directory,Group,TutorialEmployee,183
Active Directory,Group,TutorialEmployee,184
Active Directory,Group,TutorialEmployee,186
Active Directory,Group,TutorialEmployee,189
Active Directory,Group,TutorialEmployee,190
Active Directory,Group,TutorialEmployee,191
Active Directory,Group,TutorialEmployee,193
Active Directory,Group,TutorialEmployee,195
Active Directory,Group,TutorialEmployee,196
Active Directory,Group,TutorialEmployee,197
Active Directory,Group,TutorialEmployee,202
Active Directory,Group,TutorialEmployee,203
Active Directory,Group,TutorialEmployee,204
Active Directory,Group,TutorialEmployee,206
