appName,entitlement,entitlementValue,account
Building Access,NYC Office Access,NYC Office Access,1
Building Access,NYC Office Access,NYC Office Access,8
Building Access,NYC Office Access,NYC Office Access,9
Building Access,NYC Office Access,NYC Office Access,11
Building Access,NYC Office Access,NYC Office Access,12
Building Access,NYC Office Access,NYC Office Access,18
Building Access,NYC Office Access,NYC Office Access,26
Building Access,NYC Office Access,NYC Office Access,28
Building Access,NYC Office Access,NYC Office Access,33
Building Access,NYC Office Access,NYC Office Access,37
Building Access,NYC Office Access,NYC Office Access,41
Building Access,NYC Office Access,NYC Office Access,42
Building Access,NYC Office Access,NYC Office Access,43
Building Access,NYC Office Access,NYC Office Access,45
Building Access,NYC Office Access,NYC Office Access,52
Building Access,NYC Office Access,NYC Office Access,53
Building Access,NYC Office Access,NYC Office Access,56
Building Access,NYC Office Access,NYC Office Access,57
Building Access,NYC Office Access,NYC Office Access,61
Building Access,NYC Office Access,NYC Office Access,62
Building Access,NYC Office Access,NYC Office Access,65
Building Access,NYC Office Access,NYC Office Access,71
Building Access,NYC Office Access,NYC Office Access,76
Building Access,NYC Office Access,NYC Office Access,77
Building Access,NYC Office Access,NYC Office Access,84
Building Access,NYC Office Access,NYC Office Access,87
Building Access,NYC Office Access,NYC Office Access,89
Building Access,NYC Office Access,NYC Office Access,91
Building Access,NYC Office Access,NYC Office Access,94
Building Access,NYC Office Access,NYC Office Access,95
Building Access,NYC Office Access,NYC Office Access,99
Building Access,NYC Office Access,NYC Office Access,103
Building Access,NYC Office Access,NYC Office Access,106
Building Access,NYC Office Access,NYC Office Access,109
Building Access,NYC Office Access,NYC Office Access,111
Building Access,NYC Office Access,NYC Office Access,115
Building Access,NYC Office Access,NYC Office Access,122
Building Access,NYC Office Access,NYC Office Access,123
Building Access,NYC Office Access,NYC Office Access,124
Building Access,NYC Office Access,NYC Office Access,126
Building Access,NYC Office Access,NYC Office Access,129
Building Access,NYC Office Access,NYC Office Access,147
Building Access,NYC Office Access,NYC Office Access,163
Building Access,NYC Office Access,NYC Office Access,164
Building Access,NYC Office Access,NYC Office Access,167
Building Access,NYC Office Access,NYC Office Access,171
Building Access,NYC Office Access,NYC Office Access,175
Building Access,NYC Office Access,NYC Office Access,178
Building Access,NYC Office Access,NYC Office Access,179
Building Access,NYC Office Access,NYC Office Access,190
Building Access,NYC Office Access,NYC Office Access,195
Building Access,NYC Office Access,NYC Office Access,196
Building Access,NYC Office Access,NYC Office Access,198
Building Access,NYC Office Access,NYC Office Access,200
Building Access,NYC Office Access,NYC Office Access,208
Building Access,NYC Office Access,NYC Office Access,211
Building Access,NYC Office Access,NYC Office Access,212
Building Access,NYC Office Access,NYC Office Access,216
Building Access,NYC Office Access,NYC Office Access,219
Building Access,NYC Office Access,NYC Office Access,232
Building Access,NYC Office Access,NYC Office Access,239
Building Access,NYC Office Access,NYC Office Access,240
Building Access,NYC Office Access,NYC Office Access,247
Building Access,NYC Office Access,NYC Office Access,249
