appName,entitlement,entitlementValue,account
Call System Database,Base Privileges,Base Privileges,27
Call System Database,Base Privileges,Base Privileges,36
Call System Database,Base Privileges,Base Privileges,50
Call System Database,Base Privileges,Base Privileges,72
Call System Database,Base Privileges,Base Privileges,77
Call System Database,Base Privileges,Base Privileges,107
Call System Database,Base Privileges,Base Privileges,109
Call System Database,Base Privileges,Base Privileges,115
Call System Database,Base Privileges,Base Privileges,117
Call System Database,Base Privileges,Base Privileges,132
Call System Database,Base Privileges,Base Privileges,161
Call System Database,Base Privileges,Base Privileges,188
Call System Database,Base Privileges,Base Privileges,205
Call System Database,Base Privileges,Base Privileges,210
Call System Database,Base Privileges,Base Privileges,235
Call System Database,Base Privileges,Base Privileges,251
Call System Database,Base Privileges,Base Privileges,269
Call System Database,Base Privileges,Base Privileges,274
Call System Database,Base Privileges,Base Privileges,280
Call System Database,Base Privileges,Base Privileges,287
Call System Database,Base Privileges,Base Privileges,298
Call System Database,Base Privileges,Base Privileges,307
Call System Database,Base Privileges,Base Privileges,328
Call System Database,Base Privileges,Base Privileges,347
Call System Database,Base Privileges,Base Privileges,350
Call System Database,Base Privileges,Base Privileges,352
Call System Database,Base Privileges,Base Privileges,357
Call System Database,Base Privileges,Base Privileges,360
Call System Database,Base Privileges,Base Privileges,365
Call System Database,Base Privileges,Base Privileges,398
Call System Database,Base Privileges,Base Privileges,400
Call System Database,Base Privileges,Base Privileges,405
Call System Database,Base Privileges,Base Privileges,409
Call System Database,Base Privileges,Base Privileges,430
Call System Database,Base Privileges,Base Privileges,431
Call System Database,Base Privileges,Base Privileges,435
Call System Database,Base Privileges,Base Privileges,438
Call System Database,Base Privileges,Base Privileges,448
Call System Database,Base Privileges,Base Privileges,451
Call System Database,Base Privileges,Base Privileges,475
Call System Database,Base Privileges,Base Privileges,483
Call System Database,Base Privileges,Base Privileges,505
Call System Database,Base Privileges,Base Privileges,513
Call System Database,Base Privileges,Base Privileges,524
Call System Database,Base Privileges,Base Privileges,539
Call System Database,Base Privileges,Base Privileges,550
Call System Database,Base Privileges,Base Privileges,566
Call System Database,Base Privileges,Base Privileges,577
Call System Database,Base Privileges,Base Privileges,584
Call System Database,Base Privileges,Base Privileges,591
Call System Database,Base Privileges,Base Privileges,606
Call System Database,Base Privileges,Base Privileges,609
Call System Database,Base Privileges,Base Privileges,610
Call System Database,Base Privileges,Base Privileges,634
Call System Database,Base Privileges,Base Privileges,643
Call System Database,Base Privileges,Base Privileges,658
Call System Database,Base Privileges,Base Privileges,664
Call System Database,Base Privileges,Base Privileges,713
Call System Database,Base Privileges,Base Privileges,728
Call System Database,Base Privileges,Base Privileges,740
Call System Database,Base Privileges,Base Privileges,748
Call System Database,Base Privileges,Base Privileges,751
Call System Database,Base Privileges,Base Privileges,760
Call System Database,Base Privileges,Base Privileges,774
Call System Database,Base Privileges,Base Privileges,780
Call System Database,Base Privileges,Base Privileges,786
Call System Database,Base Privileges,Base Privileges,791
Call System Database,Base Privileges,Base Privileges,794
Call System Database,Base Privileges,Base Privileges,795
Call System Database,Base Privileges,Base Privileges,801
Call System Database,Base Privileges,Base Privileges,803
Call System Database,Base Privileges,Base Privileges,813
Call System Database,Base Privileges,Base Privileges,833
Call System Database,Base Privileges,Base Privileges,852
Call System Database,Base Privileges,Base Privileges,853
Call System Database,Base Privileges,Base Privileges,858
Call System Database,Base Privileges,Base Privileges,873
Call System Database,Base Privileges,Base Privileges,886
Call System Database,Base Privileges,Base Privileges,898
Call System Database,Base Privileges,Base Privileges,910
Call System Database,Base Privileges,Base Privileges,916
Call System Database,Base Privileges,Base Privileges,923
Call System Database,Base Privileges,Base Privileges,931
Call System Database,Base Privileges,Base Privileges,933
Call System Database,Base Privileges,Base Privileges,957
Call System Database,Base Privileges,Base Privileges,958
Call System Database,Base Privileges,Base Privileges,992
Call System Database,Base Privileges,Base Privileges,998
Call System Database,Base Privileges,Base Privileges,1020
Call System Database,Base Privileges,Base Privileges,1026
Call System Database,Base Privileges,Base Privileges,1032
Call System Database,Base Privileges,Base Privileges,1034
Call System Database,Base Privileges,Base Privileges,1041
Call System Database,Base Privileges,Base Privileges,1042
Call System Database,Base Privileges,Base Privileges,1053
Call System Database,Base Privileges,Base Privileges,1058
