appName,entitlement,entitlementValue,account
HRIS,HR Manager,YES,32
HRIS,HR Manager,YES,82
HRIS,HR Manager,YES,120
HRIS,HR Manager,YES,150
HRIS,HR Manager,YES,173
HRIS,HR Manager,YES,203
HRIS,HR Manager,YES,221
HRIS,HR Manager,YES,232
HRIS,HR Manager,YES,242
HRIS,HR Manager,YES,272
HRIS,HR Manager,YES,290
HRIS,HR Manager,YES,301
HRIS,HR Manager,YES,312
HRIS,HR Manager,YES,323
HRIS,HR Manager,YES,327
HRIS,HR Manager,YES,333
HRIS,HR Manager,YES,358
HRIS,HR Manager,YES,376
HRIS,HR Manager,YES,387
HRIS,HR Manager,YES,398
HRIS,HR Manager,YES,409
HRIS,HR Manager,YES,413
HRIS,HR Manager,YES,420
HRIS,HR Manager,YES,431
HRIS,HR Manager,YES,435
HRIS,HR Manager,YES,439
HRIS,HR Manager,YES,441
HRIS,HR Manager,YES,459
HRIS,HR Manager,YES,477
HRIS,HR Manager,YES,488
HRIS,HR Manager,YES,499
HRIS,HR Manager,YES,510
HRIS,HR Manager,YES,514
HRIS,HR Manager,YES,521
HRIS,HR Manager,YES,532
HRIS,HR Manager,YES,536
HRIS,HR Manager,YES,540
HRIS,HR Manager,YES,543
HRIS,HR Manager,YES,553
HRIS,HR Manager,YES,557
HRIS,HR Manager,YES,561
HRIS,HR Manager,YES,563
HRIS,HR Manager,YES,572
HRIS,HR Manager,YES,596
HRIS,HR Manager,YES,607
HRIS,HR Manager,YES,611
HRIS,HR Manager,YES,618
HRIS,HR Manager,YES,629
HRIS,HR Manager,YES,633
HRIS,HR Manager,YES,637
HRIS,HR Manager,YES,640
HRIS,HR Manager,YES,650
HRIS,HR Manager,YES,654
HRIS,HR Manager,YES,658
HRIS,HR Manager,YES,660
HRIS,HR Manager,YES,662
HRIS,HR Manager,YES,669
HRIS,HR Manager,YES,673
HRIS,HR Manager,YES,677
HRIS,HR Manager,YES,679
HRIS,HR Manager,YES,681
HRIS,HR Manager,YES,697
HRIS,HR Manager,YES,707
HRIS,HR Manager,YES,715
HRIS,HR Manager,YES,726
HRIS,HR Manager,YES,730
HRIS,HR Manager,YES,734
HRIS,HR Manager,YES,737
HRIS,HR Manager,YES,747
HRIS,HR Manager,YES,751
HRIS,HR Manager,YES,755
HRIS,HR Manager,YES,757
HRIS,HR Manager,YES,759
HRIS,HR Manager,YES,766
HRIS,HR Manager,YES,770
HRIS,HR Manager,YES,774
HRIS,HR Manager,YES,776
HRIS,HR Manager,YES,778
HRIS,HR Manager,YES,781
HRIS,HR Manager,YES,784
