appName,entitlement,entitlementValue,account
InventorySystem,User,User,58
InventorySystem,User,User,136
InventorySystem,User,User,189
InventorySystem,User,User,227
InventorySystem,User,User,258
InventorySystem,User,User,296
InventorySystem,User,User,318
InventorySystem,User,User,328
InventorySystem,User,User,344
InventorySystem,User,User,382
InventorySystem,User,User,404
InventorySystem,User,User,414
InventorySystem,User,User,426
InventorySystem,User,User,436
InventorySystem,User,User,440
InventorySystem,User,User,483
InventorySystem,User,User,505
InventorySystem,User,User,515
InventorySystem,User,User,527
InventorySystem,User,User,537
InventorySystem,User,User,541
InventorySystem,User,User,548
InventorySystem,User,User,558
InventorySystem,User,User,562
InventorySystem,User,User,564
InventorySystem,User,User,602
InventorySystem,User,User,612
InventorySystem,User,User,624
InventorySystem,User,User,634
InventorySystem,User,User,638
InventorySystem,User,User,645
InventorySystem,User,User,655
InventorySystem,User,User,659
InventorySystem,User,User,661
InventorySystem,User,User,674
InventorySystem,User,User,678
InventorySystem,User,User,680
InventorySystem,User,User,682
InventorySystem,User,User,702
InventorySystem,User,User,721
InventorySystem,User,User,731
InventorySystem,User,User,735
InventorySystem,User,User,742
InventorySystem,User,User,752
InventorySystem,User,User,756
InventorySystem,User,User,758
InventorySystem,User,User,771
InventorySystem,User,User,775
InventorySystem,User,User,777
InventorySystem,User,User,779
InventorySystem,User,User,785
InventorySystem,User,User,787
InventorySystem,User,User,789
InventorySystem,User,User,807
InventorySystem,User,User,821
InventorySystem,User,User,831
InventorySystem,User,User,835
InventorySystem,User,User,837
InventorySystem,User,User,850
InventorySystem,User,User,854
InventorySystem,User,User,856
InventorySystem,User,User,858
InventorySystem,User,User,864
InventorySystem,User,User,866
InventorySystem,User,User,868
InventorySystem,User,User,872
InventorySystem,User,User,874
InventorySystem,User,User,876
InventorySystem,User,User,887
InventorySystem,User,User,893
InventorySystem,User,User,910
InventorySystem,User,User,914
InventorySystem,User,User,916
InventorySystem,User,User,918
InventorySystem,User,User,924
InventorySystem,User,User,926
InventorySystem,User,User,928
InventorySystem,User,User,932
InventorySystem,User,User,934
InventorySystem,User,User,936
InventorySystem,User,User,939
InventorySystem,User,User,941
InventorySystem,User,User,943
InventorySystem,User,User,947
InventorySystem,User,User,961
InventorySystem,User,User,966
InventorySystem,User,User,968
InventorySystem,User,User,974
InventorySystem,User,User,976
InventorySystem,User,User,978
InventorySystem,User,User,982
InventorySystem,User,User,984
InventorySystem,User,User,986
InventorySystem,User,User,989
InventorySystem,User,User,991
InventorySystem,User,User,993
InventorySystem,User,User,1002
InventorySystem,User,User,1004
InventorySystem,User,User,1006
InventorySystem,User,User,1009
InventorySystem,User,User,1011
InventorySystem,User,User,1013
InventorySystem,User,User,1016
InventorySystem,User,User,1018
InventorySystem,User,User,1020
InventorySystem,User,User,1022
InventorySystem,User,User,1024
InventorySystem,User,User,1026
InventorySystem,User,User,1030
InventorySystem,User,User,1033
InventorySystem,User,User,1035
InventorySystem,User,User,1037
InventorySystem,User,User,1039
InventorySystem,User,User,1043
InventorySystem,User,User,1046
InventorySystem,User,User,1048
InventorySystem,User,User,1050
InventorySystem,User,User,1052
InventorySystem,User,User,1055
InventorySystem,User,User,1056
InventorySystem,User,User,1058
InventorySystem,User,User,1060
