appName,entitlement,entitlementValue,account
Mainframe,Mainframe Access,YES,11
Mainframe,Mainframe Access,YES,28
Mainframe,Mainframe Access,YES,44
Mainframe,Mainframe Access,YES,67
Mainframe,Mainframe Access,YES,88
Mainframe,Mainframe Access,YES,116
Mainframe,Mainframe Access,YES,129
Mainframe,Mainframe Access,YES,158
Mainframe,Mainframe Access,YES,197
Mainframe,Mainframe Access,YES,244
Mainframe,Mainframe Access,YES,307
Mainframe,Mainframe Access,YES,323
Mainframe,Mainframe Access,YES,370
Mainframe,Mainframe Access,YES,426
Mainframe,Mainframe Access,YES,443
Mainframe,Mainframe Access,YES,463
Mainframe,Mainframe Access,YES,474
Mainframe,Mainframe Access,YES,476
Mainframe,Mainframe Access,YES,538
Mainframe,Mainframe Access,YES,594
Mainframe,Mainframe Access,YES,614
Mainframe,Mainframe Access,YES,626
Mainframe,Mainframe Access,YES,649
Mainframe,Mainframe Access,YES,650
Mainframe,Mainframe Access,YES,662
Mainframe,Mainframe Access,YES,667
Mainframe,Mainframe Access,YES,670
Mainframe,Mainframe Access,YES,703
Mainframe,Mainframe Access,YES,709
Mainframe,Mainframe Access,YES,713
Mainframe,Mainframe Access,YES,738
Mainframe,Mainframe Access,YES,773
Mainframe,Mainframe Access,YES,823
Mainframe,Mainframe Access,YES,855
Mainframe,Mainframe Access,YES,868
Mainframe,Mainframe Access,YES,877
Mainframe,Mainframe Access,YES,895
Mainframe,Mainframe Access,YES,921
Mainframe,Mainframe Access,YES,944
Mainframe,Mainframe Access,YES,958
Mainframe,Mainframe Access,YES,971
Mainframe,Mainframe Access,YES,975
Mainframe,Mainframe Access,YES,995
Mainframe,Mainframe Access,YES,999
Mainframe,Mainframe Access,YES,1010
Mainframe,Mainframe Access,YES,1014
Mainframe,Mainframe Access,YES,1040
Mainframe,Mainframe Access,YES,1044
Mainframe,Mainframe Access,YES,1046
Mainframe,Mainframe Access,YES,1051
