appName,entitlement,entitlementValue,account
SIEM,Administrator,Administrator,9
SIEM,Administrator,Administrator,25
SIEM,Administrator,Administrator,40
SIEM,Administrator,Administrator,54
SIEM,Administrator,Administrator,64
SIEM,Administrator,Administrator,78
SIEM,Administrator,Administrator,89
SIEM,Administrator,Administrator,97
SIEM,Administrator,Administrator,102
SIEM,Administrator,Administrator,116
SIEM,Administrator,Administrator,127
SIEM,Administrator,Administrator,135
SIEM,Administrator,Administrator,141
SIEM,Administrator,Administrator,149
SIEM,Administrator,Administrator,154
SIEM,Administrator,Administrator,169
SIEM,Administrator,Administrator,180
SIEM,Administrator,Administrator,188
SIEM,Administrator,Administrator,194
SIEM,Administrator,Administrator,202
SIEM,Administrator,Administrator,207
SIEM,Administrator,Administrator,212
SIEM,Administrator,Administrator,220
SIEM,Administrator,Administrator,225
SIEM,Administrator,Administrator,230
SIEM,Administrator,Administrator,249
SIEM,Administrator,Administrator,257
SIEM,Administrator,Administrator,263
SIEM,Administrator,Administrator,271
SIEM,Administrator,Administrator,276
SIEM,Administrator,Administrator,281
SIEM,Administrator,Administrator,289
SIEM,Administrator,Administrator,294
SIEM,Administrator,Administrator,299
SIEM,Administrator,Administrator,311
SIEM,Administrator,Administrator,316
SIEM,Administrator,Administrator,321
SIEM,Administrator,Administrator,325
SIEM,Administrator,Administrator,338
SIEM,Administrator,Administrator,343
SIEM,Administrator,Administrator,349
SIEM,Administrator,Administrator,357
SIEM,Administrator,Administrator,362
SIEM,Administrator,Administrator,367
SIEM,Administrator,Administrator,375
SIEM,Administrator,Administrator,380
SIEM,Administrator,Administrator,385
SIEM,Administrator,Administrator,397
SIEM,Administrator,Administrator,402
SIEM,Administrator,Administrator,407
SIEM,Administrator,Administrator,411
SIEM,Administrator,Administrator,424
SIEM,Administrator,Administrator,429
SIEM,Administrator,Administrator,433
SIEM,Administrator,Administrator,445
SIEM,Administrator,Administrator,448
SIEM,Administrator,Administrator,452
SIEM,Administrator,Administrator,458
SIEM,Administrator,Administrator,463
SIEM,Administrator,Administrator,468
SIEM,Administrator,Administrator,476
SIEM,Administrator,Administrator,481
SIEM,Administrator,Administrator,486
SIEM,Administrator,Administrator,498
SIEM,Administrator,Administrator,503
SIEM,Administrator,Administrator,508
SIEM,Administrator,Administrator,512
SIEM,Administrator,Administrator,525
SIEM,Administrator,Administrator,530
SIEM,Administrator,Administrator,534
SIEM,Administrator,Administrator,546
SIEM,Administrator,Administrator,551
SIEM,Administrator,Administrator,555
SIEM,Administrator,Administrator,567
SIEM,Administrator,Administrator,571
SIEM,Administrator,Administrator,573
SIEM,Administrator,Administrator,581
SIEM,Administrator,Administrator,584
SIEM,Administrator,Administrator,595
SIEM,Administrator,Administrator,600
SIEM,Administrator,Administrator,605
SIEM,Administrator,Administrator,609
SIEM,Administrator,Administrator,622
SIEM,Administrator,Administrator,627
SIEM,Administrator,Administrator,631
SIEM,Administrator,Administrator,643
SIEM,Administrator,Administrator,648
SIEM,Administrator,Administrator,652
SIEM,Administrator,Administrator,665
SIEM,Administrator,Administrator,667
SIEM,Administrator,Administrator,671
SIEM,Administrator,Administrator,696
SIEM,Administrator,Administrator,700
SIEM,Administrator,Administrator,705
SIEM,Administrator,Administrator,719
SIEM,Administrator,Administrator,724
SIEM,Administrator,Administrator,728
SIEM,Administrator,Administrator,740
SIEM,Administrator,Administrator,745
SIEM,Administrator,Administrator,749
SIEM,Administrator,Administrator,762
SIEM,Administrator,Administrator,764
SIEM,Administrator,Administrator,768
SIEM,Administrator,Administrator,780
SIEM,Administrator,Administrator,796
SIEM,Administrator,Administrator,810
SIEM,Administrator,Administrator,819
SIEM,Administrator,Administrator,824
SIEM,Administrator,Administrator,828
SIEM,Administrator,Administrator,841
SIEM,Administrator,Administrator,843
SIEM,Administrator,Administrator,847
SIEM,Administrator,Administrator,859
SIEM,Administrator,Administrator,883
SIEM,Administrator,Administrator,890
SIEM,Administrator,Administrator,901
SIEM,Administrator,Administrator,903
SIEM,Administrator,Administrator,907
SIEM,Administrator,Administrator,919
SIEM,Administrator,Administrator,945
SIEM,Administrator,Administrator,954
SIEM,Administrator,Administrator,956
SIEM,Administrator,Administrator,969
SIEM,Administrator,Administrator,997
